"Country","Period","iso3","Indicator","Region","IncomeLevel","missing_values","x","y","group"
"Albania","2001","ALB","Current account balance","ECS","UMC",0.6,-25.2850318675149,11.120199038406,"ECS"
"Albania","2002","ALB","Current account balance","ECS","UMC",0.6,-26.5037354649829,10.9717139326347,"ECS"
"Albania","2003","ALB","Current account balance","ECS","UMC",0.6,-26.4896050391402,11.7556443346783,"ECS"
"Albania","2004","ALB","Cost to start a business (% of income per capita)","ECS","UMC",0.5,-26.8091420472999,13.0303164822439,"ECS"
"Albania","2005","ALB","Cost to start a business (% of income per capita)","ECS","UMC",0.475,-27.3131414160999,12.5124552353839,"ECS"
"Albania","2006","ALB","Availability of scientists and engineers, 1-7 (best)","ECS","UMC",0.35,-19.424735302562,20.8041095848785,"ECS"
"Albania","2007","ALB","% of firms identifying business licensing and permits as the biggest obstacle","ECS","UMC",0.225,-14.8247151226717,18.1675519803002,"ECS"
"Albania","2008","ALB","Availability of scientists and engineers, 1-7 (best)","ECS","UMC",0.275,23.0940897646234,-0.761879939608908,"ECS"
"Albania","2009","ALB","Availability of scientists and engineers, 1-7 (best)","ECS","UMC",0.3,23.5670597976865,-0.358129130265653,"ECS"
"Albania","2010","ALB","Availability of scientists and engineers, 1-7 (best)","ECS","UMC",0.275,25.4875294683598,0.9525230421562,"ECS"
"Albania","2011","ALB","Availability of scientists and engineers, 1-7 (best)","ECS","UMC",0.275,25.4027790922221,0.404039288624674,"ECS"
"Albania","2012","ALB","Availability of scientists and engineers, 1-7 (best)","ECS","UMC",0.25,25.9612684255149,0.760108163154802,"ECS"
"Albania","2013","ALB","% of firms identifying business licensing and permits as the biggest obstacle","ECS","UMC",0.2,31.5616882466633,31.8633436885913,"ECS"
"Albania","2014","ALB","Availability of scientists and engineers, 1-7 (best)","ECS","UMC",0.325,26.2982667878565,-0.165492660206585,"ECS"
"Albania","2015","ALB","Availability of scientists and engineers, 1-7 (best)","ECS","UMC",0.3,-23.120178693302,-4.27948113593688,"ECS"
"American Samoa","2004","ASM","Liner shipping connectivity index (maximum value in 2004 = 100)","EAS","UMC",0.975,-34.1791513730701,-29.8956371286921,"EAS"
"American Samoa","2005","ASM","Liner shipping connectivity index (maximum value in 2004 = 100)","EAS","UMC",0.975,-35.9966248719991,-28.6188511756237,"EAS"
"American Samoa","2006","ASM","Liner shipping connectivity index (maximum value in 2004 = 100)","EAS","UMC",0.975,-36.7331971111461,-30.1876322837423,"EAS"
"American Samoa","2007","ASM","Liner shipping connectivity index (maximum value in 2004 = 100)","EAS","UMC",0.975,-32.6862898953637,-34.1304387516167,"EAS"
"American Samoa","2008","ASM","Liner shipping connectivity index (maximum value in 2004 = 100)","EAS","UMC",0.975,-32.9030861528256,-31.8706458132364,"EAS"
"American Samoa","2009","ASM","Liner shipping connectivity index (maximum value in 2004 = 100)","EAS","UMC",0.975,-31.5025859614642,-34.271793679862,"EAS"
"American Samoa","2010","ASM","Liner shipping connectivity index (maximum value in 2004 = 100)","EAS","UMC",0.975,-34.5060058861155,-27.7944620934985,"EAS"
"American Samoa","2011","ASM","Liner shipping connectivity index (maximum value in 2004 = 100)","EAS","UMC",0.975,-35.8762828055435,-31.0598437915364,"EAS"
"American Samoa","2012","ASM","Liner shipping connectivity index (maximum value in 2004 = 100)","EAS","UMC",0.975,-37.3612192789067,-32.0906905446228,"EAS"
"American Samoa","2013","ASM","Liner shipping connectivity index (maximum value in 2004 = 100)","EAS","UMC",0.975,-33.7959585493452,-33.4445312705776,"EAS"
"American Samoa","2014","ASM","Liner shipping connectivity index (maximum value in 2004 = 100)","EAS","UMC",0.975,-36.3502532635192,-27.5984081959281,"EAS"
"American Samoa","2015","ASM","Liner shipping connectivity index (maximum value in 2004 = 100)","EAS","UMC",0.975,-34.0027881116188,-30.9229150835897,"EAS"
"Andorra","2001","AND","GDP growth (annual %)","ECS","HIC",0.925,-22.6181852263583,-39.0959939560806,"ECS"
"Andorra","2002","AND","GDP growth (annual %)","ECS","HIC",0.925,-23.7087718128889,-38.4691367242887,"ECS"
"Andorra","2003","AND","GDP growth (annual %)","ECS","HIC",0.925,-23.4712609850941,-40.5900336854173,"ECS"
"Andorra","2004","AND","GDP growth (annual %)","ECS","HIC",0.925,-24.589363426725,-41.3637240200151,"ECS"
"Andorra","2005","AND","GDP growth (annual %)","ECS","HIC",0.925,-23.3074801209957,-43.2324780247473,"ECS"
"Andorra","2006","AND","GDP growth (annual %)","ECS","HIC",0.925,-23.6945221358343,-43.0316343939304,"ECS"
"Andorra","2007","AND","GDP growth (annual %)","ECS","HIC",0.925,-22.7874767243794,-43.2308335297117,"ECS"
"Andorra","2008","AND","GDP growth (annual %)","ECS","HIC",0.925,-22.5416587681836,-42.8057775564968,"ECS"
"Andorra","2009","AND","GDP growth (annual %)","ECS","HIC",0.925,-22.2574927998706,-43.8055089968551,"ECS"
"Andorra","2010","AND","GDP growth (annual %)","ECS","HIC",0.925,-22.0344997403247,-40.3965642651141,"ECS"
"Andorra","2011","AND","GDP growth (annual %)","ECS","HIC",0.925,-21.9274950182012,-42.2683387424308,"ECS"
"Andorra","2012","AND","GDP growth (annual %)","ECS","HIC",0.925,-21.972316309044,-43.4011828032632,"ECS"
"Andorra","2013","AND","GDP growth (annual %)","ECS","HIC",0.925,-23.8211748203718,-40.954493808909,"ECS"
"Armenia","2001","ARM","Current account balance","ECS","LMC",0.55,43.7760200013197,39.741500249691,"ECS"
"Armenia","2002","ARM","Current account balance","ECS","LMC",0.575,43.969210446276,40.345577657345,"ECS"
"Armenia","2003","ARM","Current account balance","ECS","LMC",0.55,42.9187427159723,39.6910370254426,"ECS"
"Armenia","2004","ARM","Cost to start a business (% of income per capita)","ECS","LMC",0.475,41.813800828944,38.1232771528554,"ECS"
"Armenia","2005","ARM","Cost to start a business (% of income per capita)","ECS","LMC",0.475,41.1038579700844,39.0754384475476,"ECS"
"Armenia","2006","ARM","Availability of scientists and engineers, 1-7 (best)","ECS","LMC",0.3,31.8557096708518,40.4368290162656,"ECS"
"Armenia","2007","ARM","Availability of scientists and engineers, 1-7 (best)","ECS","LMC",0.275,31.6406813795318,40.6953048540154,"ECS"
"Armenia","2008","ARM","Availability of scientists and engineers, 1-7 (best)","ECS","LMC",0.275,30.1225423655064,39.3346169883441,"ECS"
"Armenia","2009","ARM","% of firms identifying business licensing and permits as the biggest obstacle","ECS","LMC",0.275,30.776018281336,39.2193758286685,"ECS"
"Armenia","2010","ARM","Availability of scientists and engineers, 1-7 (best)","ECS","LMC",0.25,30.4245531794235,40.3374958039942,"ECS"
"Armenia","2011","ARM","Availability of scientists and engineers, 1-7 (best)","ECS","LMC",0.275,29.4903022278684,40.1797440816687,"ECS"
"Armenia","2012","ARM","Availability of scientists and engineers, 1-7 (best)","ECS","LMC",0.2,30.2267434630544,38.6192665940465,"ECS"
"Armenia","2013","ARM","% of firms identifying business licensing and permits as the biggest obstacle","ECS","LMC",0.2,-26.7865168040339,33.8731936812073,"ECS"
"Armenia","2014","ARM","Availability of scientists and engineers, 1-7 (best)","ECS","LMC",0.275,-25.2670785128785,0.652103985051747,"ECS"
"Armenia","2015","ARM","Availability of scientists and engineers, 1-7 (best)","ECS","LMC",0.3,-24.8740460365729,-1.27501186758821,"ECS"
"Australia","2001","AUS","Current account balance","EAS","HIC",0.55,1.52582823872076,-16.1643683296713,"EAS"
"Australia","2002","AUS","Current account balance","EAS","HIC",0.525,0.580930254952939,-18.8316216239772,"EAS"
"Australia","2003","AUS","Current account balance","EAS","HIC",0.525,1.79136646008527,-16.5636392213122,"EAS"
"Australia","2004","AUS","Cost to start a business (% of income per capita)","EAS","HIC",0.4,0.348050602708643,-17.5920567885909,"EAS"
"Australia","2005","AUS","Cost to start a business (% of income per capita)","EAS","HIC",0.425,2.77386207253764,-17.3160861160668,"EAS"
"Australia","2006","AUS","Availability of scientists and engineers, 1-7 (best)","EAS","HIC",0.25,12.6807070675799,-40.5985885162002,"EAS"
"Australia","2007","AUS","Availability of scientists and engineers, 1-7 (best)","EAS","HIC",0.25,23.7725110249196,-33.7119350398026,"EAS"
"Australia","2008","AUS","Availability of scientists and engineers, 1-7 (best)","EAS","HIC",0.25,11.9269816870144,-41.5919651785039,"EAS"
"Australia","2009","AUS","Availability of scientists and engineers, 1-7 (best)","EAS","HIC",0.275,12.9264292937459,-40.173773391969,"EAS"
"Australia","2010","AUS","Availability of scientists and engineers, 1-7 (best)","EAS","HIC",0.175,16.2784170024246,-34.2939696486399,"EAS"
"Australia","2011","AUS","Availability of scientists and engineers, 1-7 (best)","EAS","HIC",0.2,13.3466524505518,-31.7640665686699,"EAS"
"Australia","2012","AUS","Availability of scientists and engineers, 1-7 (best)","EAS","HIC",0.225,14.2197702734131,-29.3064744010553,"EAS"
"Australia","2013","AUS","Availability of scientists and engineers, 1-7 (best)","EAS","HIC",0.275,11.9901128985429,-32.2396510588848,"EAS"
"Australia","2014","AUS","Availability of scientists and engineers, 1-7 (best)","EAS","HIC",0.225,14.9791923983129,-28.2491053743822,"EAS"
"Australia","2015","AUS","Availability of scientists and engineers, 1-7 (best)","EAS","HIC",0.25,13.4142076637694,-32.6016329861559,"EAS"
"Austria","2001","AUT","Current account balance","ECS","HIC",0.55,3.3878544815901,-35.7479281187954,"ECS"
"Austria","2002","AUT","Current account balance","ECS","HIC",0.55,3.08271207436325,-35.6659971855451,"ECS"
"Austria","2003","AUT","Current account balance","ECS","HIC",0.525,4.17732863823745,-35.5570743082721,"ECS"
"Austria","2004","AUT","Cost to start a business (% of income per capita)","ECS","HIC",0.45,4.57521349644695,-35.3811764246469,"ECS"
"Austria","2005","AUT","Cost to start a business (% of income per capita)","ECS","HIC",0.425,6.09835531007947,-34.9894585258603,"ECS"
"Austria","2006","AUT","Availability of scientists and engineers, 1-7 (best)","ECS","HIC",0.3,13.7462766944984,-40.4087040489401,"ECS"
"Austria","2007","AUT","Availability of scientists and engineers, 1-7 (best)","ECS","HIC",0.225,23.0642293788685,-37.3574512316449,"ECS"
"Austria","2008","AUT","Availability of scientists and engineers, 1-7 (best)","ECS","HIC",0.275,16.5481616899558,-39.7779349085969,"ECS"
"Austria","2009","AUT","Availability of scientists and engineers, 1-7 (best)","ECS","HIC",0.275,16.6428481458121,-40.2115532503563,"ECS"
"Austria","2010","AUT","Availability of scientists and engineers, 1-7 (best)","ECS","HIC",0.225,17.9915879109172,-38.9447565362708,"ECS"
"Austria","2011","AUT","Availability of scientists and engineers, 1-7 (best)","ECS","HIC",0.25,16.1290754996953,-39.4975594032248,"ECS"
"Austria","2012","AUT","Availability of scientists and engineers, 1-7 (best)","ECS","HIC",0.175,-7.20962217378767,-45.7208110871744,"ECS"
"Austria","2013","AUT","Availability of scientists and engineers, 1-7 (best)","ECS","HIC",0.275,-4.10162427874216,-46.3361823355871,"ECS"
"Austria","2014","AUT","Availability of scientists and engineers, 1-7 (best)","ECS","HIC",0.225,-6.10383869568866,-45.3425363446267,"ECS"
"Austria","2015","AUT","Availability of scientists and engineers, 1-7 (best)","ECS","HIC",0.35,-4.12489745411149,-46.2225642907818,"ECS"
"Azerbaijan","2001","AZE","Current account balance","ECS","UMC",0.625,9.09175142200958,-2.60164376660557,"ECS"
"Azerbaijan","2002","AZE","Current account balance","ECS","UMC",0.6,10.3194133229523,-3.64515439701215,"ECS"
"Azerbaijan","2003","AZE","Current account balance","ECS","UMC",0.575,10.2752694517832,-2.77671563003437,"ECS"
"Azerbaijan","2004","AZE","Cost to start a business (% of income per capita)","ECS","UMC",0.525,5.68912743158691,-5.07232489281109,"ECS"
"Azerbaijan","2005","AZE","Cost to start a business (% of income per capita)","ECS","UMC",0.5,15.4589975973261,18.1146354975815,"ECS"
"Azerbaijan","2006","AZE","Availability of scientists and engineers, 1-7 (best)","ECS","UMC",0.375,15.9612515107749,41.243247801503,"ECS"
"Azerbaijan","2007","AZE","Availability of scientists and engineers, 1-7 (best)","ECS","UMC",0.3,16.3748718159357,41.8572280320301,"ECS"
"Azerbaijan","2008","AZE","Availability of scientists and engineers, 1-7 (best)","ECS","UMC",0.3,14.5568373524503,41.1716374014077,"ECS"
"Azerbaijan","2009","AZE","% of firms identifying business licensing and permits as the biggest obstacle","ECS","UMC",0.275,14.7549743982196,41.5505765804113,"ECS"
"Azerbaijan","2010","AZE","Availability of scientists and engineers, 1-7 (best)","ECS","UMC",0.275,15.2103180221915,38.9145568500749,"ECS"
"Azerbaijan","2011","AZE","Availability of scientists and engineers, 1-7 (best)","ECS","UMC",0.275,15.5525085671007,39.7219159505881,"ECS"
"Azerbaijan","2012","AZE","Availability of scientists and engineers, 1-7 (best)","ECS","UMC",0.225,16.5412176170459,39.0553599532665,"ECS"
"Azerbaijan","2013","AZE","% of firms identifying business licensing and permits as the biggest obstacle","ECS","UMC",0.25,-26.7295031900764,35.0131678583677,"ECS"
"Azerbaijan","2014","AZE","Availability of scientists and engineers, 1-7 (best)","ECS","UMC",0.3,16.670966898567,38.5820610852455,"ECS"
"Azerbaijan","2015","AZE","Availability of scientists and engineers, 1-7 (best)","ECS","UMC",0.375,16.6198401537534,38.1812361513844,"ECS"
"Belarus","2001","BLR","Current account balance","ECS","UMC",0.625,10.6710761816393,-6.98214572087619,"ECS"
"Belarus","2002","BLR","Current account balance","ECS","UMC",0.6,11.500416316252,-8.10989229919121,"ECS"
"Belarus","2003","BLR","Current account balance","ECS","UMC",0.6,10.512723590249,-8.44480577008635,"ECS"
"Belarus","2004","BLR","Cost to start a business (% of income per capita)","ECS","UMC",0.5,9.30890672695325,-7.52480018487534,"ECS"
"Belarus","2005","BLR","Cost to start a business (% of income per capita)","ECS","UMC",0.5,8.54085609178851,-7.79323310818168,"ECS"
"Belarus","2006","BLR","Cost to start a business (% of income per capita)","ECS","UMC",0.475,-13.3854058213742,41.2670427650012,"ECS"
"Belarus","2007","BLR","Cost to start a business (% of income per capita)","ECS","UMC",0.45,-13.1557092957011,42.7456196857682,"ECS"
"Belarus","2008","BLR","% of firms identifying business licensing and permits as the biggest obstacle","ECS","UMC",0.425,-13.5639594247655,44.5209248175706,"ECS"
"Belarus","2009","BLR","Cost to start a business (% of income per capita)","ECS","UMC",0.45,-13.5375638061483,42.3742759794967,"ECS"
"Belarus","2010","BLR","Cost to start a business (% of income per capita)","ECS","UMC",0.425,-11.0580606602216,43.5325666976545,"ECS"
"Belarus","2011","BLR","Cost to start a business (% of income per capita)","ECS","UMC",0.425,-10.7270433746397,43.093543504265,"ECS"
"Belarus","2012","BLR","Cost to start a business (% of income per capita)","ECS","UMC",0.4,-11.9620486894819,43.7545474715324,"ECS"
"Belarus","2013","BLR","% of firms identifying business licensing and permits as the biggest obstacle","ECS","UMC",0.4,26.8495208501199,28.7393318232,"ECS"
"Belarus","2014","BLR","Cost to start a business (% of income per capita)","ECS","UMC",0.475,8.37402526517532,-8.43943925767442,"ECS"
"Belarus","2015","BLR","Cost to export: Border compliance (USD)","ECS","UMC",0.525,9.59437357997584,-8.16335356663703,"ECS"
"Belgium","2001","BEL","Current account balance","ECS","HIC",0.55,3.88374431175222,-30.7061652612729,"ECS"
"Belgium","2002","BEL","Current account balance","ECS","HIC",0.525,4.69527641508554,-29.7430809179745,"ECS"
"Belgium","2003","BEL","Current account balance","ECS","HIC",0.5,5.23052881373934,-30.4573696827357,"ECS"
