"id","name","dataset","valueType","datasetId","notes","properties","rank","definition"
2321,"Bilateral trade costs for manufactured goods","ESCAP","value",3,"Table download includes 2013; queriable portal only goes to 2012. UN listing says it goes thru 2015: http://artnet.unescap.org/databases.html#first","Annual, 1995-2013. ~180 countries and regional groups.",4,"The Trade Costs Dataset provides estimates of bilateral trade costs in manufactured goods for the 1995-2010 period. It is built on trade and production data collected in 178 countries. Symmetric bilateral trade costs are computed using the Inverse Gravity Framework (Novy 2009), which estimates trade costs for each country pair using bilateral trade and gross national output."
2322,"Bilateral trade costs for agricultural goods","ESCAP","value",3,"Table download includes 2013; queriable portal only goes to 2012. UN listing says it goes thru 2015: http://artnet.unescap.org/databases.html#first","Annual, 1995-2013. ~180 countries and regional groups.",4,"The Trade Costs Dataset provides estimates of bilateral trade costs in agricultural goods for the 1995-2010 period. It is built on trade and production data collected in 178 countries. Symmetric bilateral trade costs are computed using the Inverse Gravity Framework (Novy 2009), which estimates trade costs for each country pair using bilateral trade and gross national output."
2323,"Bilateral trade costs for all goods","ESCAP","value",3,"Table download includes 2013; queriable portal only goes to 2012. UN listing says it goes thru 2015: http://artnet.unescap.org/databases.html#first","Annual, 1995-2013. ~180 countries and regional groups.",4,"The Trade Costs Dataset provides estimates of bilateral trade costs in agriculture and manufactured goods for the 1995-2010 period. It is built on trade and production data collected in 178 countries. Symmetric bilateral trade costs are computed using the Inverse Gravity Framework (Novy 2009), which estimates trade costs for each country pair using bilateral trade and gross national output. Trade costs are available for two sectors: trade in manufactured goods, and agriculture. Energy is excluded."
2324,"Goods, Value of Imports, Cost, Insurance, Freight (CIF), US Dollars","Direction of Trade","value",4,NA,"Monthly/Quarterly/Annual 1960-2016",4,"The information on exports and imports by trading partners that countries report to the Fun varies in terms of frequency and currentness. Monthly data are made available on a regular and current basis (i.e., with a delay of four months or less from the current month) by approximately 49 countries which comprise virtually all of the advances and about 18 developing and emerging economies. Together, these 49 countries have represented about four-fifths of the value of recorded world exports and imports in recent years."
2325,"Goods, Value of Exports, Free on board (FOB), US Dollars","Direction of Trade","value",4,NA,"Monthly/Quarterly/Annual 1960-2016",4,"The information on exports and imports by trading partners that countries report to the Fun varies in terms of frequency and currentness. Monthly data are made available on a regular and current basis (i.e., with a delay of four months or less from the current month) by approximately 49 countries which comprise virtually all of the advances and about 18 developing and emerging economies. Together, these 49 countries have represented about four-fifths of the value of recorded world exports and imports in recent years."
2326,"Goods, Value of Imports, Free on board (FOB), US Dollars","Direction of Trade","value",4,NA,"Monthly/Quarterly/Annual 1960-2016",4,"The information on exports and imports by trading partners that countries report to the Fun varies in terms of frequency and currentness. Monthly data are made available on a regular and current basis (i.e., with a delay of four months or less from the current month) by approximately 49 countries which comprise virtually all of the advances and about 18 developing and emerging economies. Together, these 49 countries have represented about four-fifths of the value of recorded world exports and imports in recent years."
2327,"Gross exports","Trade in Value Added","total",2,"","1995, 2000, 2005, 2008-2011. 61 countries.",4,"A country's total gross exports for a given industry can be directly calculated from the ICIO system by summing up exports in intermediate goods and services and exports of final demand goods and services."
2328,"Gross exports, final products","Trade in Value Added","total",2,"","1995, 2000, 2005, 2008-2011. 61 countries.",4,"EXGR_FNL(c,p,i) is gross exports of final demand goods and services from domestic industry i in country c to partner country p."
2329,"Gross exports, intermediate products","Trade in Value Added","total",2,"","1995, 2000, 2005, 2008-2011. 61 countries.",4,"EXGR_INT(c,p,i) is gross exports of intermediate goods and services from domestic industry i in country c to partner country p."
2330,"Gross exports, domestic value added content","Trade in Value Added","total",2,"","1995, 2000, 2005, 2008-2011. 61 countries.",4,"Domestic value added embodied in exports (EXGR_DVA) by industry i in country c covers value added generated anywhere in the domestic economy."
2335,"Gross imports","Trade in Value Added","total",2,"","1995, 2000, 2005, 2008-2011. 61 countries.",4,"Total imports of country c are measured as: IMGRc,i=_IMGRc,p,ip=_( IMGR_INTc,p,ip+IMGR_FNLc,p,i) where IMGR_INTc,p,i is gross imports of intermediates by country c from industry i in country p; and IMGR_FNLc,p,i is gross imports of final demand goods and services."
2336,"Gross imports, final products","Trade in Value Added","total",2,"","1995, 2000, 2005, 2008-2011. 61 countries.",4,"IMGR_FNL(c,p,i) is gross imports of final demand goods and services by country c from industry i in partner country p."
